soc_code,occupation_title,employment_national,annual_median_wage,source
21-1018,"Substance abuse, behavioral disorder, and mental health counselors",440380.0,59190.0,BLS OEWS 2024
21-1019,"Counselors, All Other",33340.0,49830.0,BLS OEWS 2024
21-1020,Social Workers,759740.0,61330.0,BLS OEWS 2024
21-1021,"Child, Family, and School Social Workers",382960.0,58570.0,BLS OEWS 2024
21-1022,Healthcare Social Workers,185940.0,68090.0,BLS OEWS 2024
21-1023,Mental Health and Substance Abuse Social Workers,125910.0,60060.0,BLS OEWS 2024
21-1029,"Social Workers, All Other",64940.0,69480.0,BLS OEWS 2024
21-1090,Miscellaneous Community and Social Service Specialists,747300.0,48790.0,BLS OEWS 2024
21-1091,Health Education Specialists,65150.0,63000.0,BLS OEWS 2024
21-1092,Probation Officers and Correctional Treatment Specialists,86820.0,64520.0,BLS OEWS 2024
21-1093,Social and Human Service Assistants,424220.0,45120.0,BLS OEWS 2024
21-1094,Community Health Workers,60730.0,51030.0,BLS OEWS 2024
21-1099,"Community and Social Service Specialists, All Other",110390.0,54940.0,BLS OEWS 2024
21-2000,Religious Workers,91710.0,58570.0,BLS OEWS 2024
21-2011,Clergy,58080.0,60820.0,BLS OEWS 2024
21-2021,"Directors, Religious Activities and Education",21460.0,54840.0,BLS OEWS 2024
21-2099,"Religious Workers, All Other",12170.0,45120.0,BLS OEWS 2024
23-1000,"Lawyers, Judges, and Related Workers",810640.0,144040.0,BLS OEWS 2024
23-1010,Lawyers and Judicial Law Clerks,760970.0,148600.0,BLS OEWS 2024
23-1011,Lawyers,747750.0,151160.0,BLS OEWS 2024
23-1012,Judicial Law Clerks,13220.0,60400.0,BLS OEWS 2024
23-1020,"Judges, Magistrates, and Other Judicial Workers",49670.0,123220.0,BLS OEWS 2024
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",16230.0,115230.0,BLS OEWS 2024
23-1022,"Arbitrators, Mediators, and Conciliators",7860.0,67710.0,BLS OEWS 2024
23-1023,"Judges, Magistrate Judges, and Magistrates",25580.0,156210.0,BLS OEWS 2024
23-2000,Legal Support Workers,462770.0,60930.0,BLS OEWS 2024
23-2011,Paralegals and Legal Assistants,367220.0,61010.0,BLS OEWS 2024
23-2090,Miscellaneous Legal Support Workers,95550.0,60550.0,BLS OEWS 2024
23-2093,"Title Examiners, Abstractors, and Searchers",48170.0,54980.0,BLS OEWS 2024
23-2099,"Legal Support Workers, All Other",47380.0,68760.0,BLS OEWS 2024
25-1000,Postsecondary Teachers,1396300.0,81600.0,BLS OEWS 2024
25-1011,"Business Teachers, Postsecondary",81780.0,97270.0,BLS OEWS 2024
25-1020,"Math and Computer Science Teachers, Postsecondary",85060.0,82390.0,BLS OEWS 2024
25-1021,"Computer Science Teachers, Postsecondary",36240.0,96690.0,BLS OEWS 2024
25-1022,"Mathematical Science Teachers, Postsecondary",48820.0,79350.0,BLS OEWS 2024
25-1030,"Engineering and Architecture Teachers, Postsecondary",49030.0,105690.0,BLS OEWS 2024
25-1031,"Architecture Teachers, Postsecondary",9120.0,101480.0,BLS OEWS 2024
25-1032,"Engineering Teachers, Postsecondary",39910.0,106120.0,BLS OEWS 2024
25-1040,"Life Sciences Teachers, Postsecondary",63270.0,83920.0,BLS OEWS 2024
25-1041,"Agricultural Sciences Teachers, Postsecondary",8700.0,86350.0,BLS OEWS 2024
25-1042,"Biological Science Teachers, Postsecondary",53250.0,83460.0,BLS OEWS 2024
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1310.0,100830.0,BLS OEWS 2024
25-1050,"Physical Sciences Teachers, Postsecondary",52580.0,95520.0,BLS OEWS 2024
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",11480.0,101390.0,BLS OEWS 2024
25-1052,"Chemistry Teachers, Postsecondary",20390.0,86220.0,BLS OEWS 2024
25-1053,"Environmental Science Teachers, Postsecondary",7130.0,87710.0,BLS OEWS 2024
25-1054,"Physics Teachers, Postsecondary",13590.0,97360.0,BLS OEWS 2024
25-1060,"Social Sciences Teachers, Postsecondary",121090.0,83360.0,BLS OEWS 2024
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5260.0,95770.0,BLS OEWS 2024
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11430.0,84290.0,BLS OEWS 2024
25-1063,"Economics Teachers, Postsecondary",12420.0,119980.0,BLS OEWS 2024
25-1064,"Geography Teachers, Postsecondary",3290.0,86730.0,BLS OEWS 2024
25-1065,"Political Science Teachers, Postsecondary",17170.0,94680.0,BLS OEWS 2024
25-1066,"Psychology Teachers, Postsecondary",41610.0,80330.0,BLS OEWS 2024
25-1067,"Sociology Teachers, Postsecondary",12380.0,82540.0,BLS OEWS 2024
25-1069,"Social Sciences Teachers, Postsecondary, All Other",17540.0,75040.0,BLS OEWS 2024
25-1070,"Health Teachers, Postsecondary",303970.0,100370.0,BLS OEWS 2024
25-1071,"Health Specialties Teachers, Postsecondary",229720.0,105620.0,BLS OEWS 2024
25-1072,"Nursing Instructors and Teachers, Postsecondary",74250.0,79940.0,BLS OEWS 2024
25-1080,"Education and Library Science Teachers, Postsecondary",63190.0,73050.0,BLS OEWS 2024
25-1081,"Education Teachers, Postsecondary",59090.0,72090.0,BLS OEWS 2024
25-1082,"Library Science Teachers, Postsecondary",4100.0,78630.0,BLS OEWS 2024
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",49710.0,87870.0,BLS OEWS 2024
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",13560.0,71470.0,BLS OEWS 2024
25-1112,"Law Teachers, Postsecondary",22800.0,126650.0,BLS OEWS 2024
25-1113,"Social Work Teachers, Postsecondary",13350.0,76210.0,BLS OEWS 2024
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",248620.0,79060.0,BLS OEWS 2024
25-1121,"Art, Drama, and Music Teachers, Postsecondary",97890.0,80190.0,BLS OEWS 2024
25-1122,"Communications Teachers, Postsecondary",29260.0,77800.0,BLS OEWS 2024
25-1123,"English Language and Literature Teachers, Postsecondary",59590.0,78270.0,BLS OEWS 2024
25-1124,"Foreign Language and Literature Teachers, Postsecondary",21170.0,77010.0,BLS OEWS 2024
25-1125,"History Teachers, Postsecondary",19860.0,81500.0,BLS OEWS 2024
25-1126,"Philosophy and Religion Teachers, Postsecondary",20840.0,78050.0,BLS OEWS 2024
25-1190,Miscellaneous Postsecondary Teachers,278000.0,68800.0,BLS OEWS 2024
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",2630.0,77280.0,BLS OEWS 2024
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",12680.0,75890.0,BLS OEWS 2024
25-1194,"Career/Technical Education Teachers, Postsecondary",111150.0,61490.0,BLS OEWS 2024
25-1199,"Postsecondary Teachers, All Other",151530.0,78490.0,BLS OEWS 2024
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",4321590.0,61960.0,BLS OEWS 2024
25-2010,Preschool and Kindergarten Teachers,559490.0,40090.0,BLS OEWS 2024
25-2011,"Preschool Teachers, Except Special Education",445080.0,37120.0,BLS OEWS 2024
25-2012,"Kindergarten Teachers, Except Special Education",114410.0,61430.0,BLS OEWS 2024
25-2020,Elementary and Middle School Teachers,2027880.0,62500.0,BLS OEWS 2024
25-2021,"Elementary School Teachers, Except Special Education",1393310.0,62340.0,BLS OEWS 2024
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",620370.0,62970.0,BLS OEWS 2024
25-2023,"Career/Technical Education Teachers, Middle School",14200.0,63620.0,BLS OEWS 2024
25-2030,Secondary School Teachers,1176990.0,64530.0,BLS OEWS 2024
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1072540.0,64580.0,BLS OEWS 2024
