doc_id,cip4,degree_level,cip_title,median_earnings_4yr_nat,text
1101_Post-baccalaureate_Certificate,1101,Post-baccalaureate Certificate,"Computer and Information Sciences, General.",96564.0,"CIP family (cip4): 1101
Field of study: Computer and Information Sciences, General.
Degree level: Post-baccalaureate Certificate
Median earnings (4 years after completion, national): $96,564

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1101_Undergraduate_Certificate_or_Diploma,1101,Undergraduate Certificate or Diploma,"Computer and Information Sciences, General.",50984.0,"CIP family (cip4): 1101
Field of study: Computer and Information Sciences, General.
Degree level: Undergraduate Certificate or Diploma
Median earnings (4 years after completion, national): $50,984

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1102_Associates_Degree,1102,Associate's Degree,Computer Programming.,58070.0,"CIP family (cip4): 1102
Field of study: Computer Programming.
Degree level: Associate's Degree
Median earnings (4 years after completion, national): $58,070

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1102_Bachelors_Degree,1102,Bachelor's Degree,Computer Programming.,83439.0,"CIP family (cip4): 1102
Field of study: Computer Programming.
Degree level: Bachelor's Degree
Median earnings (4 years after completion, national): $83,439

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1102_Masters_Degree,1102,Master's Degree,Computer Programming.,148974.0,"CIP family (cip4): 1102
Field of study: Computer Programming.
Degree level: Master's Degree
Median earnings (4 years after completion, national): $148,974

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1102_Non-Credential_Program_(Preparatory_Coursework/Teacher_Certification),1102,Non-Credential Program (Preparatory Coursework/Teacher Certification),Computer Programming.,50308.0,"CIP family (cip4): 1102
Field of study: Computer Programming.
Degree level: Non-Credential Program (Preparatory Coursework/Teacher Certification)
Median earnings (4 years after completion, national): $50,308

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1102_Undergraduate_Certificate_or_Diploma,1102,Undergraduate Certificate or Diploma,Computer Programming.,56556.0,"CIP family (cip4): 1102
Field of study: Computer Programming.
Degree level: Undergraduate Certificate or Diploma
Median earnings (4 years after completion, national): $56,556

Related occupations with OEWS wages (top 10 by employment):
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440
- 15-1252 Software Developers | median wage $133,080 | employment 1,654,440"
1103_Associates_Degree,1103,Associate's Degree,Data Processing.,51859.0,"CIP family (cip4): 1103
Field of study: Data Processing.
Degree level: Associate's Degree
Median earnings (4 years after completion, national): $51,859

Related occupations with OEWS wages (top 10 by employment):
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380"
1103_Bachelors_Degree,1103,Bachelor's Degree,Data Processing.,75978.0,"CIP family (cip4): 1103
Field of study: Data Processing.
Degree level: Bachelor's Degree
Median earnings (4 years after completion, national): $75,978

Related occupations with OEWS wages (top 10 by employment):
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380"
1103_Masters_Degree,1103,Master's Degree,Data Processing.,156135.0,"CIP family (cip4): 1103
Field of study: Data Processing.
Degree level: Master's Degree
Median earnings (4 years after completion, national): $156,135

Related occupations with OEWS wages (top 7 by employment):
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380
- 15-1299 Computer Occupations, All Other | median wage $108,970 | employment 439,380"
